ID	LATITUDE	LONGITUDE	fB	fR	fT	u50	u100	u250	u500	u1000	u2000	u4000
O1+	51.035736	3.701834	0.0000	0.1000	0.2000	20.5286520339278	17.9165276394802	15.4666943662893	13.1341469163306	17.2238971468698	18.0995334517955	17.9460680322615
O15+	51.034187	3.700231	0.1500	0.2500	0.0500	0	9.9692966507288	9.68606095617577	8.75969246699252	15.8784121560167	16.3399825286581	17.0961437190517
O26+	51.035201	3.70124	0.1500	0.5500	0.0500	2.79607129505356	17.2114337060004	15.4809027448389	11.1202723849464	16.3971285600267	17.5251916097402	17.6393300741281
O5+	51.035242	3.701195	0.0500	0.3500	0.0500	1.13952207092885	16.4499459002994	15.5359937890673	11.128108781011	16.3329190302573	17.511935412717	17.6400123399579
O9	51.035037	3.700809	0.2000	0.2667	0.0000	1.16020375267653	14.9171173267857	15.6253041139007	10.1749791600218	15.9562157922436	17.1677722137253	17.4972861886117
SPAEC02	51.05877	3.67859	0.0000	0.5250	0.3000	0	0	0	0.224267071809316	3.80926908623453	12.7038317014246	14.6228449279875
SPAEC03	51.047954	3.716716	0.0500	0.5972	0.2347	35.1740215497096	34.0584324552172	36.9403857567529	41.5126103747592	40.5936256944051	32.9354356889263	21.2381584526824
SPAEC05	51.014063	3.811492	0.0278	0.2333	0.3861	0	1.40207724211499	5.40015480359003	7.672360751248	4.10548962067756	7.07577941752755	7.30797244181805
SPAEC07	51.049089	3.715508	0.2250	0.4813	0.4438	34.3307508852859	41.3704350679348	41.9646437411892	42.3697156905709	40.7306785393692	32.7285819570575	21.2989989620134
SPAEC12	51.034576	3.763693	0.0250	0.6500	0.2750	23.5325893526908	26.5646252785779	24.8597360377445	19.7517736209871	20.6993097312693	17.9467154288096	16.9565554864686
SPAEC18	51.026829	3.635332	0.0500	0.6500	0.1250	2.76520430600422	3.58650726889826	2.96893258775908	3.66330668192089	4.94637846760327	5.57399257747177	6.25498256793372
SPAEC20	51.047954	3.716716	0.0000	0.7111	0.1833	35.1740215497096	34.0584324552172	36.9403857567529	41.5126103747592	40.5936256944051	32.9354356889263	21.2381584526824
SPAEC22	50.845766	3.608069	0.1750	0.5750	0.0500	0	6.41592413825726	22.1137479397392	29.5573257158122	20.570957881603	13.7080165944347	6.7500300679276
SPAEC23	51.025342	3.637669	0.0000	0.6875	0.1438	3.40379020636464	2.82931997341687	2.25426205614435	3.30983688571413	5.19382365333812	5.69121649613433	6.45792121944202
SPAEC24	50.813863	3.46796	0.0313	0.5375	0.1250	5.23014495831291	5.57120609495276	5.56522244623268	3.73250745007533	4.17607779550289	2.77492730238673	3.70297614448659
SPAEC26	50.846368	3.608046	0.0000	0.7194	0.0750	0	0.592470489931651	19.5318610897412	29.4108658176992	20.7005984589718	13.7987141128495	6.73267379728867
SPAEC28	51.059385	3.686414	0.0278	0.8194	0.1500	1.31662861827339	0.615979806576257	4.37988418540455	10.330316939147	15.2604021012128	16.3672156125102	16.404297669109
SPAEC32	51.050831	3.739936	0.0000	0.6167	0.1639	39.2097338194405	34.4495991614348	32.0023774123569	34.5478273573811	38.5878941092784	34.3756568863236	21.6283426383004
SPAEC33	51.050831	3.739936	0.0000	0.6333	0.1028	39.2097338194405	34.4495991614348	32.0023774123569	34.5478273573811	38.5878941092784	34.3756568863236	21.6283426383004
SPAEC35	50.96373	3.737731	0.0750	0.5000	0.2000	7.17279419617882	18.8935719105701	13.2782635252342	6.60030434177805	6.97521011792421	5.49163477475589	4.55593909893605
SPAEC37	51.032736	3.729463	0.0250	0.6736	0.1139	54.8808858605668	44.9179047951171	34.7979705725993	33.9298662976558	26.9800330268189	26.9438513804234	19.7864951746588
SPAEC41	51.058153	3.687645	0.0000	0.5000	0.2750	7.67807433459345	6.33693038913938	7.0685238501688	12.602278676932	16.0349238176872	16.5666808380408	16.8261101656127
SPAEC42	51.032736	3.729463	0.0250	0.6250	0.0500	54.8808858605668	44.9179047951171	34.7979705725993	33.9298662976558	26.9800330268189	26.9438513804234	19.7864951746588
SPAEC44	51.05576	3.769084	0.0000	0.4861	0.3500	24.6678965423024	25.9108945179594	25.3043451153035	20.7826039901846	13.3129754885954	15.9581950412611	17.4116659767914
SPAEC50	50.950246	3.471797	0.0000	0.5250	0.3000	26.2000919655716	13.3209536455176	2.52268344466	1.81130158573617	4.18024622961797	5.53021675012626	5.19449729817929
SPAEC52	51.042209	3.731894	0.0000	0.4889	0.1583	24.4971795541346	27.7603242245425	30.7793239099725	36.6507930503222	37.4757545286642	34.0760969799155	21.2917741191625
W14+	51.048045	3.695114	0.2000	0.2333	0.0333	0	4.49902701094662	6.32329781888695	7.86570668295556	12.9670723246002	18.4071907102699	18.5087568818828
W15	51.048037	3.695137	0.1500	0.3500	0.0500	0	4.6026849286096	6.29419481663593	7.87118782863623	12.9897083202397	18.4204031450118	18.5121112792593
W16+	51.048034	3.695145	0.3000	0.2500	0.0500	0	4.64173900741184	6.28474093964876	7.87230385182526	12.9974489139023	18.4248942098519	18.5132826592497
W19+	51.048034	3.695156	0.3500	0.1000	0.0500	0	4.63163502599435	6.26187533374854	7.88339552664692	13.0122042696128	18.4333778661099	18.5151252279019
W7+	51.048064	3.695048	0.0000	0.1000	0.1000	0	4.29928705576183	6.41771782661851	7.83388051958627	12.8987622337362	18.3677636306314	18.4994648468232
W9	51.048068	3.695114	0.4500	0.4000	0.0000	0	4.163086044755	6.27137110833183	7.91597268722209	12.9914151020128	18.4189114854037	18.5101553411903
ZSR1	50.958053	3.722187	0.0000	0.3500	0.3250	0.130180297792249	0.0325450744480294	1.69529499590366	2.17450588575755	2.14070100799666	4.7233607178024	3.80246329008176
